ID,Ten_do_vat,Nhiet_do,Do_am,trang_thai,Canh_bao_chay
111,Sac_dien_thoai,78,32,Dang_su_dung,Khong
112,Sac_dien_thoai,95,60,Dang_su_dung,Khong
113,Sac_dien_thoai,57,74,Khong_su_dung,Khong
114,Ban_la,56,61,Khong_su_dung,Khong
115,May_say,81,76,Dang_su_dung,Khong
116,May_say,55,57,Che_do_cho,Khong
117,May_say,104,50,Khong_su_dung,Khong
118,May_say,104,70,Khong_su_dung,Khong
119,May_say,66,28,Khong_su_dung,Khong
120,Sac_dien_thoai,48,74,Che_do_cho,Khong
121,Ban_la,238,15,Che_do_cho,Co
122,Sac_dien_thoai,90,53,Che_do_cho,Khong
123,Sac_dien_thoai,76,48,Khong_su_dung,Khong
124,May_say,141,70,Khong_su_dung,Khong
125,Sac_dien_thoai,87,11,Che_do_cho,Khong
126,Ban_la,210,16,Che_do_cho,Co
127,May_say,53,43,Che_do_cho,Khong
128,Ban_la,159,36,Che_do_cho,Khong
129,May_say,44,23,Dang_su_dung,Khong
130,Sac_dien_thoai,30,21,Che_do_cho,Khong
131,May_say,100,27,Dang_su_dung,Khong
132,Ban_la,183,77,Che_do_cho,Co
133,Ban_la,229,61,Khong_su_dung,Co
134,Sac_dien_thoai,82,73,Che_do_cho,Khong
135,Sac_dien_thoai,68,48,Che_do_cho,Khong
136,May_say,45,52,Dang_su_dung,Khong
137,Sac_dien_thoai,57,13,Che_do_cho,Khong
138,Sac_dien_thoai,26,75,Khong_su_dung,Khong
139,Sac_dien_thoai,72,66,Che_do_cho,Khong
140,Sac_dien_thoai,90,59,Khong_su_dung,Khong
141,May_say,85,75,Dang_su_dung,Khong
142,May_say,142,45,Che_do_cho,Khong
143,Ban_la,156,65,Khong_su_dung,Khong
144,Ban_la,196,60,Khong_su_dung,Co
145,Sac_dien_thoai,60,56,Khong_su_dung,Khong
146,May_say,176,14,Khong_su_dung,Khong
147,Sac_dien_thoai,80,31,Dang_su_dung,Khong
148,Ban_la,147,70,Dang_su_dung,Khong
149,May_say,72,75,Khong_su_dung,Khong
150,Ban_la,55,11,Che_do_cho,Khong
151,May_say,189,18,Khong_su_dung,Co
152,Sac_dien_thoai,54,52,Dang_su_dung,Khong
153,Sac_dien_thoai,42,61,Dang_su_dung,Khong
154,Ban_la,65,28,Khong_su_dung,Khong
155,Sac_dien_thoai,85,39,Che_do_cho,Khong
156,May_say,132,43,Khong_su_dung,Khong
157,Ban_la,197,34,Khong_su_dung,Co
158,Ban_la,194,31,Che_do_cho,Co
159,Sac_dien_thoai,57,39,Che_do_cho,Khong
160,Sac_dien_thoai,31,33,Dang_su_dung,Khong
161,Ban_la,100,20,Khong_su_dung,Khong
162,Ban_la,60,51,Che_do_cho,Khong
163,May_say,70,42,Che_do_cho,Khong
164,May_say,183,66,Dang_su_dung,Co
165,Sac_dien_thoai,75,66,Dang_su_dung,Khong
166,Ban_la,186,36,Khong_su_dung,Co
167,May_say,159,27,Khong_su_dung,Khong
168,May_say,87,24,Che_do_cho,Khong
169,Sac_dien_thoai,86,52,Che_do_cho,Khong
170,May_say,98,80,Dang_su_dung,Khong
171,Ban_la,73,35,Che_do_cho,Khong
172,May_say,89,46,Che_do_cho,Khong
173,Ban_la,88,67,Khong_su_dung,Khong
174,Sac_dien_thoai,99,79,Dang_su_dung,Khong
175,Sac_dien_thoai,72,69,Che_do_cho,Khong
176,May_say,65,47,Khong_su_dung,Khong
177,May_say,122,29,Dang_su_dung,Khong
178,Sac_dien_thoai,93,70,Khong_su_dung,Khong
179,May_say,132,30,Che_do_cho,Khong
180,Sac_dien_thoai,45,10,Dang_su_dung,Khong
181,May_say,84,15,Dang_su_dung,Khong
182,Ban_la,213,43,Khong_su_dung,Co
183,Ban_la,101,17,Khong_su_dung,Khong
184,May_say,69,39,Che_do_cho,Khong
185,May_say,197,66,Che_do_cho,Co
186,May_say,175,34,Dang_su_dung,Khong
187,Ban_la,186,49,Khong_su_dung,Co
188,May_say,50,45,Khong_su_dung,Khong
189,Sac_dien_thoai,77,16,Dang_su_dung,Khong
190,May_say,157,56,Che_do_cho,Khong
191,Sac_dien_thoai,55,49,Dang_su_dung,Khong
192,Sac_dien_thoai,84,11,Khong_su_dung,Khong
193,Sac_dien_thoai,56,43,Che_do_cho,Khong
194,May_say,201,34,Dang_su_dung,Co
195,Sac_dien_thoai,62,55,Dang_su_dung,Khong
196,May_say,101,55,Dang_su_dung,Khong
197,May_say,105,71,Che_do_cho,Khong
198,Sac_dien_thoai,63,25,Khong_su_dung,Khong
199,Sac_dien_thoai,101,68,Che_do_cho,Khong
200,Sac_dien_thoai,88,66,Dang_su_dung,Khong
201,Sac_dien_thoai,51,65,Dang_su_dung,Khong
202,Ban_la,67,15,Khong_su_dung,Khong
203,Sac_dien_thoai,95,78,Dang_su_dung,Khong
204,May_say,138,57,Khong_su_dung,Khong
205,Ban_la,64,77,Khong_su_dung,Khong
206,May_say,198,10,Dang_su_dung,Co
207,Ban_la,72,32,Khong_su_dung,Khong
208,Sac_dien_thoai,83,35,Khong_su_dung,Khong
209,May_say,150,32,Che_do_cho,Khong
210,May_say,107,65,Khong_su_dung,Khong
211,Ban_la,209,22,Dang_su_dung,Co
212,Sac_dien_thoai,59,63,Che_do_cho,Khong
213,May_say,169,68,Khong_su_dung,Khong
214,May_say,118,24,Che_do_cho,Khong
215,May_say,123,22,Che_do_cho,Khong
216,Sac_dien_thoai,41,79,Khong_su_dung,Khong
217,Ban_la,173,43,Khong_su_dung,Khong
218,Sac_dien_thoai,46,78,Dang_su_dung,Khong
219,May_say,184,22,Dang_su_dung,Co
220,Sac_dien_thoai,64,19,Khong_su_dung,Khong
221,Ban_la,121,52,Khong_su_dung,Khong
222,Ban_la,136,22,Che_do_cho,Khong
223,Ban_la,137,24,Dang_su_dung,Khong
224,Sac_dien_thoai,67,69,Che_do_cho,Khong
225,May_say,40,76,Khong_su_dung,Khong
226,May_say,162,38,Che_do_cho,Khong
227,Sac_dien_thoai,84,13,Dang_su_dung,Khong
228,Sac_dien_thoai,61,45,Khong_su_dung,Khong
229,Sac_dien_thoai,78,75,Khong_su_dung,Khong
230,Sac_dien_thoai,32,25,Che_do_cho,Khong
231,Sac_dien_thoai,100,30,Che_do_cho,Khong
232,May_say,174,26,Khong_su_dung,Khong
233,Ban_la,231,33,Khong_su_dung,Co
234,Ban_la,104,65,Dang_su_dung,Khong
235,Sac_dien_thoai,71,54,Dang_su_dung,Khong
236,May_say,174,50,Khong_su_dung,Khong
237,Sac_dien_thoai,96,73,Che_do_cho,Khong
238,Ban_la,127,44,Khong_su_dung,Khong
239,Ban_la,215,36,Dang_su_dung,Co
240,Ban_la,87,44,Dang_su_dung,Khong
241,Ban_la,96,33,Che_do_cho,Khong
242,Sac_dien_thoai,56,16,Khong_su_dung,Khong
243,Sac_dien_thoai,46,50,Khong_su_dung,Khong
244,Ban_la,143,28,Khong_su_dung,Khong
245,May_say,108,50,Dang_su_dung,Khong
246,Sac_dien_thoai,98,41,Che_do_cho,Khong
247,May_say,44,19,Dang_su_dung,Khong
248,May_say,179,69,Khong_su_dung,Khong
249,Sac_dien_thoai,47,36,Che_do_cho,Khong
250,Ban_la,242,18,Che_do_cho,Co
251,May_say,145,66,Dang_su_dung,Khong
252,Ban_la,129,80,Dang_su_dung,Khong
253,Ban_la,57,34,Dang_su_dung,Khong
254,May_say,196,18,Dang_su_dung,Co
255,Sac_dien_thoai,45,76,Che_do_cho,Khong
256,May_say,96,10,Che_do_cho,Khong
257,Ban_la,202,47,Khong_su_dung,Co
258,Ban_la,167,54,Khong_su_dung,Khong
259,May_say,93,52,Che_do_cho,Khong
260,Ban_la,84,67,Che_do_cho,Khong
261,Sac_dien_thoai,55,12,Dang_su_dung,Khong
262,Ban_la,75,52,Che_do_cho,Khong
263,Ban_la,222,16,Dang_su_dung,Co
264,May_say,89,54,Dang_su_dung,Khong
265,Sac_dien_thoai,49,79,Che_do_cho,Khong
266,May_say,45,44,Dang_su_dung,Khong
267,Ban_la,156,22,Dang_su_dung,Co
268,Ban_la,106,18,Dang_su_dung,Khong
269,May_say,204,31,Khong_su_dung,Co
270,Ban_la,106,46,Che_do_cho,Khong
271,May_say,129,17,Che_do_cho,Khong
272,May_say,70,52,Che_do_cho,Khong
273,May_say,175,43,Khong_su_dung,Khong
274,Ban_la,180,76,Khong_su_dung,Co
275,Sac_dien_thoai,65,71,Che_do_cho,Khong
276,Sac_dien_thoai,42,59,Che_do_cho,Khong
277,Ban_la,131,79,Dang_su_dung,Khong
278,Sac_dien_thoai,35,61,Khong_su_dung,Khong
279,May_say,193,70,Che_do_cho,Co
280,Sac_dien_thoai,45,14,Khong_su_dung,Khong
281,Ban_la,143,59,Dang_su_dung,Khong
282,Sac_dien_thoai,89,33,Khong_su_dung,Khong
283,Ban_la,138,67,Che_do_cho,Khong
284,May_say,123,24,Dang_su_dung,Khong
285,Ban_la,202,66,Khong_su_dung,Co
286,Ban_la,71,25,Dang_su_dung,Khong
287,Ban_la,152,65,Khong_su_dung,Khong
288,Sac_dien_thoai,92,38,Dang_su_dung,Khong
289,Sac_dien_thoai,99,43,Che_do_cho,Khong
290,May_say,110,19,Khong_su_dung,Khong
291,Ban_la,176,14,Dang_su_dung,Co
292,Ban_la,62,57,Che_do_cho,Khong
293,Sac_dien_thoai,74,23,Khong_su_dung,Khong
294,Ban_la,197,18,Khong_su_dung,Co
295,Ban_la,185,11,Che_do_cho,Co
296,Sac_dien_thoai,75,72,Khong_su_dung,Khong
297,Ban_la,104,25,Khong_su_dung,Khong
298,May_say,176,13,Dang_su_dung,Co
299,Ban_la,217,73,Che_do_cho,Co
300,Ban_la,108,19,Dang_su_dung,Khong
301,May_say,125,67,Che_do_cho,Khong
302,May_say,50,36,Che_do_cho,Khong
303,Sac_dien_thoai,40,78,Che_do_cho,Khong
304,May_say,85,11,Khong_su_dung,Khong
305,Sac_dien_thoai,80,47,Khong_su_dung,Khong
306,Sac_dien_thoai,84,44,Che_do_cho,Khong
307,May_say,150,34,Khong_su_dung,Khong
308,Ban_la,114,19,Dang_su_dung,Khong
309,May_say,94,25,Dang_su_dung,Khong
310,May_say,138,58,Che_do_cho,Khong
311,Sac_dien_thoai,61,12,Khong_su_dung,Khong
312,Ban_la,229,33,Che_do_cho,Co
313,Ban_la,63,42,Khong_su_dung,Khong
314,Sac_dien_thoai,34,46,Che_do_cho,Khong
315,May_say,82,57,Dang_su_dung,Khong
316,Ban_la,99,33,Che_do_cho,Khong
317,Sac_dien_thoai,33,13,Che_do_cho,Khong
318,Ban_la,173,34,Dang_su_dung,Khong
319,Ban_la,149,46,Che_do_cho,Khong
320,Sac_dien_thoai,65,37,Dang_su_dung,Khong
321,Ban_la,201,64,Dang_su_dung,Co
322,May_say,96,48,Che_do_cho,Khong
323,Sac_dien_thoai,33,37,Dang_su_dung,Khong
324,Sac_dien_thoai,53,16,Che_do_cho,Khong
325,Ban_la,230,38,Khong_su_dung,Co
326,Ban_la,158,26,Che_do_cho,Khong
327,Sac_dien_thoai,90,56,Khong_su_dung,Khong
328,Sac_dien_thoai,99,65,Dang_su_dung,Khong
329,Ban_la,91,61,Dang_su_dung,Khong
330,Sac_dien_thoai,98,19,Dang_su_dung,Khong
331,Sac_dien_thoai,66,67,Dang_su_dung,Khong
332,Ban_la,182,39,Khong_su_dung,Co
333,May_say,173,15,Khong_su_dung,Khong
334,Sac_dien_thoai,86,36,Khong_su_dung,Khong
335,May_say,146,75,Khong_su_dung,Khong
336,Sac_dien_thoai,36,53,Khong_su_dung,Khong
337,Ban_la,211,40,Khong_su_dung,Co
338,May_say,115,22,Khong_su_dung,Khong
339,Ban_la,166,64,Khong_su_dung,Khong
340,May_say,78,20,Che_do_cho,Khong
341,Ban_la,47,28,Che_do_cho,Khong
342,Ban_la,145,20,Khong_su_dung,Khong
343,Ban_la,52,70,Che_do_cho,Khong
344,Ban_la,128,74,Che_do_cho,Khong
345,Ban_la,174,77,Che_do_cho,Khong
346,Sac_dien_thoai,73,11,Dang_su_dung,Khong
347,Sac_dien_thoai,59,15,Che_do_cho,Khong
348,Ban_la,230,43,Che_do_cho,Co
349,May_say,65,33,Khong_su_dung,Khong
350,Ban_la,87,17,Khong_su_dung,Khong
351,Sac_dien_thoai,94,24,Dang_su_dung,Khong
352,Ban_la,205,56,Che_do_cho,Co
353,Sac_dien_thoai,72,37,Dang_su_dung,Khong
354,Ban_la,70,69,Dang_su_dung,Khong
355,Sac_dien_thoai,90,76,Dang_su_dung,Khong
356,Sac_dien_thoai,75,52,Dang_su_dung,Khong
357,Sac_dien_thoai,102,62,Dang_su_dung,Khong
358,Ban_la,144,69,Che_do_cho,Khong
359,Sac_dien_thoai,53,65,Dang_su_dung,Khong
360,Ban_la,226,60,Khong_su_dung,Co
361,Ban_la,95,31,Dang_su_dung,Khong
362,Ban_la,116,20,Khong_su_dung,Khong
363,May_say,106,32,Dang_su_dung,Khong
364,Sac_dien_thoai,32,40,Dang_su_dung,Khong
365,Sac_dien_thoai,41,17,Khong_su_dung,Khong
366,May_say,49,41,Khong_su_dung,Khong
367,May_say,146,70,Khong_su_dung,Khong
368,Sac_dien_thoai,74,33,Che_do_cho,Khong
369,Sac_dien_thoai,60,36,Che_do_cho,Khong
370,Ban_la,156,48,Dang_su_dung,Khong
371,Ban_la,69,14,Che_do_cho,Khong
372,May_say,135,78,Che_do_cho,Khong
373,Sac_dien_thoai,102,78,Khong_su_dung,Khong
374,Sac_dien_thoai,75,44,Khong_su_dung,Khong
375,May_say,166,28,Dang_su_dung,Co
376,May_say,56,28,Dang_su_dung,Khong
377,Ban_la,240,40,Dang_su_dung,Co
378,Sac_dien_thoai,53,72,Dang_su_dung,Khong
379,May_say,40,22,Che_do_cho,Khong
380,Ban_la,105,23,Khong_su_dung,Khong
381,Ban_la,59,35,Dang_su_dung,Khong
382,Ban_la,230,70,Che_do_cho,Co
383,Sac_dien_thoai,92,48,Che_do_cho,Khong
384,Sac_dien_thoai,38,37,Khong_su_dung,Khong
385,Sac_dien_thoai,87,24,Khong_su_dung,Khong
386,Ban_la,141,16,Khong_su_dung,Khong
387,Ban_la,132,19,Dang_su_dung,Khong
388,Ban_la,209,21,Dang_su_dung,Co
389,Sac_dien_thoai,59,72,Khong_su_dung,Khong
390,May_say,80,40,Che_do_cho,Khong
391,May_say,133,54,Che_do_cho,Khong
392,Sac_dien_thoai,79,37,Dang_su_dung,Khong
393,Ban_la,196,31,Dang_su_dung,Co
394,May_say,190,68,Dang_su_dung,Co
395,Sac_dien_thoai,84,44,Che_do_cho,Khong
396,Ban_la,156,26,Dang_su_dung,Co
397,May_say,40,16,Che_do_cho,Khong
398,Ban_la,87,38,Che_do_cho,Khong
399,Sac_dien_thoai,52,75,Khong_su_dung,Khong
400,Sac_dien_thoai,98,52,Dang_su_dung,Khong
401,Sac_dien_thoai,42,17,Dang_su_dung,Khong
402,Ban_la,147,28,Che_do_cho,Khong
403,Sac_dien_thoai,97,43,Che_do_cho,Khong
404,Ban_la,236,22,Che_do_cho,Co
405,Sac_dien_thoai,88,42,Che_do_cho,Khong
406,Ban_la,166,66,Che_do_cho,Khong
407,Sac_dien_thoai,57,25,Dang_su_dung,Khong
408,Sac_dien_thoai,61,47,Che_do_cho,Khong
409,Sac_dien_thoai,57,28,Khong_su_dung,Khong
410,Sac_dien_thoai,96,55,Che_do_cho,Khong
411,Sac_dien_thoai,71,10,Dang_su_dung,Khong
412,May_say,169,30,Che_do_cho,Khong
413,Ban_la,237,35,Khong_su_dung,Co
414,Sac_dien_thoai,90,17,Che_do_cho,Khong
415,May_say,54,62,Khong_su_dung,Khong
416,Ban_la,92,36,Dang_su_dung,Khong
417,Sac_dien_thoai,84,19,Che_do_cho,Khong
418,Ban_la,65,73,Che_do_cho,Khong
419,May_say,190,60,Khong_su_dung,Co
420,Sac_dien_thoai,58,72,Khong_su_dung,Khong
421,May_say,190,39,Khong_su_dung,Co
422,May_say,143,63,Khong_su_dung,Khong
423,May_say,190,21,Dang_su_dung,Co
424,Ban_la,209,69,Dang_su_dung,Co
425,Ban_la,144,44,Khong_su_dung,Khong
426,May_say,85,66,Khong_su_dung,Khong
427,Ban_la,237,35,Dang_su_dung,Co
428,Ban_la,99,63,Che_do_cho,Khong
429,May_say,153,70,Khong_su_dung,Khong
430,May_say,77,10,Che_do_cho,Khong
431,Sac_dien_thoai,65,25,Dang_su_dung,Khong
432,May_say,133,55,Che_do_cho,Khong
433,Sac_dien_thoai,45,47,Dang_su_dung,Khong
434,Ban_la,167,55,Khong_su_dung,Khong
435,May_say,151,69,Khong_su_dung,Khong
436,May_say,128,47,Khong_su_dung,Khong
437,May_say,135,68,Khong_su_dung,Khong
438,Sac_dien_thoai,74,80,Khong_su_dung,Khong
439,May_say,134,73,Dang_su_dung,Khong
440,Sac_dien_thoai,54,50,Khong_su_dung,Khong
441,May_say,176,55,Khong_su_dung,Khong
442,May_say,41,38,Khong_su_dung,Khong
443,May_say,117,21,Dang_su_dung,Khong
444,Sac_dien_thoai,47,56,Che_do_cho,Khong
445,May_say,134,45,Khong_su_dung,Khong
446,May_say,77,48,Dang_su_dung,Khong
447,Ban_la,232,32,Khong_su_dung,Co
448,Ban_la,50,11,Che_do_cho,Khong
449,Ban_la,173,73,Khong_su_dung,Khong
450,May_say,144,71,Dang_su_dung,Khong
451,Ban_la,166,37,Khong_su_dung,Khong
452,Ban_la,65,40,Che_do_cho,Khong
453,Sac_dien_thoai,61,26,Dang_su_dung,Khong
454,Ban_la,234,29,Khong_su_dung,Co
455,Sac_dien_thoai,85,31,Dang_su_dung,Khong
456,Ban_la,244,39,Khong_su_dung,Co
457,Ban_la,175,72,Che_do_cho,Khong
458,Ban_la,60,79,Khong_su_dung,Khong
459,Ban_la,147,46,Khong_su_dung,Khong
460,May_say,80,40,Dang_su_dung,Khong
461,Ban_la,193,13,Dang_su_dung,Co
462,May_say,167,78,Khong_su_dung,Khong
463,Sac_dien_thoai,49,29,Dang_su_dung,Khong
464,Sac_dien_thoai,47,13,Khong_su_dung,Khong
465,May_say,193,10,Khong_su_dung,Co
466,May_say,194,13,Dang_su_dung,Co
467,Sac_dien_thoai,91,66,Che_do_cho,Khong
468,May_say,140,50,Khong_su_dung,Khong
469,May_say,78,59,Che_do_cho,Khong
470,Ban_la,151,74,Khong_su_dung,Khong
471,May_say,168,21,Che_do_cho,Khong
472,Sac_dien_thoai,44,76,Che_do_cho,Khong
473,Sac_dien_thoai,28,36,Che_do_cho,Khong
474,Ban_la,115,35,Che_do_cho,Khong
475,Ban_la,148,63,Che_do_cho,Khong
476,May_say,188,64,Khong_su_dung,Co
477,May_say,82,46,Dang_su_dung,Khong
478,Ban_la,174,11,Khong_su_dung,Khong
479,May_say,189,77,Dang_su_dung,Co
480,Sac_dien_thoai,60,53,Che_do_cho,Khong
481,Sac_dien_thoai,51,68,Che_do_cho,Khong
482,May_say,39,37,Dang_su_dung,Khong
483,Sac_dien_thoai,40,45,Che_do_cho,Khong
484,May_say,89,60,Khong_su_dung,Khong
485,Ban_la,120,21,Che_do_cho,Khong
486,Sac_dien_thoai,94,80,Khong_su_dung,Khong
487,Ban_la,196,61,Dang_su_dung,Co
488,Ban_la,159,13,Khong_su_dung,Khong
489,Sac_dien_thoai,84,52,Che_do_cho,Khong
490,May_say,140,24,Khong_su_dung,Khong
491,Ban_la,95,34,Dang_su_dung,Khong
492,Ban_la,163,78,Dang_su_dung,Khong
493,Ban_la,56,51,Che_do_cho,Khong
494,Ban_la,161,77,Khong_su_dung,Khong
495,Sac_dien_thoai,58,29,Che_do_cho,Khong
496,Sac_dien_thoai,37,13,Dang_su_dung,Khong
497,Sac_dien_thoai,88,47,Che_do_cho,Khong
498,Sac_dien_thoai,48,28,Khong_su_dung,Khong
499,Ban_la,141,71,Che_do_cho,Khong
500,May_say,122,64,Khong_su_dung,Khong
501,Ban_la,177,15,Che_do_cho,Khong
502,May_say,118,11,Che_do_cho,Khong
503,Ban_la,199,74,Che_do_cho,Co
504,May_say,104,71,Dang_su_dung,Khong
505,Sac_dien_thoai,67,73,Che_do_cho,Khong
506,May_say,70,21,Dang_su_dung,Khong
507,Ban_la,139,49,Khong_su_dung,Khong
508,Ban_la,194,27,Khong_su_dung,Co
509,Sac_dien_thoai,74,52,Che_do_cho,Khong
510,Sac_dien_thoai,87,16,Dang_su_dung,Khong
511,Ban_la,187,10,Dang_su_dung,Co
512,Sac_dien_thoai,43,24,Che_do_cho,Khong
513,May_say,199,72,Dang_su_dung,Co
514,Ban_la,231,16,Che_do_cho,Co
515,May_say,136,45,Dang_su_dung,Khong
516,Sac_dien_thoai,90,52,Dang_su_dung,Khong
517,Sac_dien_thoai,64,57,Che_do_cho,Khong
518,May_say,160,38,Khong_su_dung,Khong
519,May_say,105,14,Dang_su_dung,Khong
520,Ban_la,228,70,Che_do_cho,Co
521,Sac_dien_thoai,85,69,Che_do_cho,Khong
522,Ban_la,115,42,Khong_su_dung,Khong
523,May_say,159,41,Dang_su_dung,Khong
524,May_say,141,35,Dang_su_dung,Khong
525,Ban_la,60,73,Dang_su_dung,Khong
526,Sac_dien_thoai,68,48,Khong_su_dung,Khong
527,Sac_dien_thoai,32,29,Khong_su_dung,Khong
528,Ban_la,63,14,Khong_su_dung,Khong
529,Sac_dien_thoai,51,72,Dang_su_dung,Khong
530,Sac_dien_thoai,49,35,Khong_su_dung,Khong
531,Ban_la,188,28,Dang_su_dung,Co
532,Sac_dien_thoai,47,62,Che_do_cho,Khong
533,Ban_la,127,79,Khong_su_dung,Khong
534,May_say,58,26,Khong_su_dung,Khong
535,Ban_la,89,31,Khong_su_dung,Khong
536,Ban_la,86,65,Dang_su_dung,Khong
537,Sac_dien_thoai,32,34,Khong_su_dung,Khong
538,Ban_la,195,19,Khong_su_dung,Co
539,Ban_la,208,20,Che_do_cho,Co
540,Ban_la,165,72,Khong_su_dung,Khong
541,Ban_la,85,68,Dang_su_dung,Khong
542,May_say,56,51,Khong_su_dung,Khong
543,May_say,92,34,Khong_su_dung,Khong
